PMID,Node1,Node1_Type,Relationship,Node2,Node2_Type,Description
29055949,Tumor Immunity,dsyn,COEXISTS_WITH,Ovarian Carcinoma,neop,The observations confirm the therapeutic potential of PD-L1/PD-1 mAb to reactivate anti-tumor immunity in ovarian cancer.
29218796,tumor growth,neop,COEXISTS_WITH,Ovarian Carcinoma,neop,"Over the last decade, increasing evidence highlights the role of the host immune system in the control of tumor growth and the prognostic implications of tumor infiltrating lymphocytes (TILs) in ovarian cancer."
31278254,tumor growth,neop,COEXISTS_WITH,Ovarian Carcinoma,neop,Small extracellular vesicles containing arginase-1 suppress T-cell responses and promote tumor growth in ovarian carcinoma.
29251331,Ovarian Carcinoma,neop,ISA,Neoplasm,neop,"Ovarian cancer (OC), of which epithelial ovarian cancer (EOC) is the most common, is the deadliest gynecological tumor because of the difficulties in detection at early stages, and metastasis and chemoresistance at advanced stages."
30129640,Ovarian Carcinoma,neop,COEXISTS_WITH,Neoplasm,neop,"Our results suggested that tumor immune infiltrates of ovarian cancer were quite cohort and subtype dependent, and activated CD4+ T and CD8+ T tumor infiltrating lymphocytes were associated with good overall survival in the high-grade serous tumors."
31537619,Ovarian Carcinoma,neop,COEXISTS_WITH,Neoplasm,neop,We examined whether this ligand is a prognostic marker for high-grade serous ovarian cancer (HGSOC) and whether it is associated with accumulation of immune cells in the tumor.
30377203,Ovarian Carcinoma,neop,MANIFESTATION_OF,Neoplasm,neop,"We evaluated if associations between aspirin or non-aspirin NSAID use and ovarian cancer risk differed by tumor expression of prostaglandin-related (COX1, COX2) and TAM-related (CD68, CD163) markers."
29301826,Pharmacotherapy,topp,TREATS,Ovarian Carcinoma,neop,Purpose: To conduct a phase I trial of a Modified Vaccinia Ankara vaccine delivering wild-type human p53 (p53MVA) in combination with gemcitabine chemotherapy in patients with platinum-resistant ovarian cancer.
29504705,Pharmacotherapy,topp,TREATS,Ovarian Carcinoma,neop,The standard chemotherapy for ovarian cancer is paclitaxel/carboplatin.
30518877,Pharmacotherapy,topp,TREATS,Ovarian Carcinoma,neop,The backbone of ovarian cancer treatment is platinum-based chemotherapy and aggressive surgical debulking.
31059109,Pharmacotherapy,topp,TREATS,Ovarian Carcinoma,neop,CONCLUSIONS: The assessment of Treg levels prior to the start of chemotherapy is clinically useful and may predict overall survival in ovarian cancer patients.
31362778,Pharmacotherapy,topp,TREATS,Ovarian Carcinoma,neop,Standard treatment for ovarian cancer is still surgery followed by taxane- and platinum-based chemotherapy.
31571212,Pharmacotherapy,topp,TREATS,Ovarian Carcinoma,neop,Neutrophil-to-lymphocyte ratio as a prognostic factor in advanced stage ovarian carcinoma treated with neoadjuvant chemotherapy.
31571212,Pharmacotherapy,topp,TREATS,Ovarian Carcinoma,neop,"OBJECTIVES: To evaluate the prognostic significance of neutrophil-to-lymphocyte ratio (NLR) upon diagnosis, and its impact on surgical outcome, among patients with advanced stage ovarian carcinoma treated with neoadjuvant chemotherapy (NACT)."
31746376,Pharmacotherapy,topp,TREATS,Ovarian Carcinoma,neop,These results suggest possible treatments for patients with ovarian cancer who undergo chemotherapy; inhibiting M2 macrophage differentiation during chemotherapy may reduce the rate of tumor recurrence.
31809609,Pharmacotherapy,topp,TREATS,Ovarian Carcinoma,neop,Material and Methods: A retrospective analysis of consecutive stage IV OC patients who underwent NACT followed by IDS with CPLNs assessment and/or resection from July 2017 to June 2018.
31809609,Pharmacotherapy,topp,TREATS,Ovarian Carcinoma,neop,CPLNs removal during IDS after NACT for stage IV OC could be safely performed to achieve a complete resection.
29351920,Pharmacotherapy,topp,NEG_AFFECTS,Ovarian Carcinoma,neop,Purpose: Ovarian carcinoma no longer responsive to surgery and chemotherapy remains an incurable disease.
30845699,Pharmacotherapy,topp,NEG_AFFECTS,Ovarian Carcinoma,neop,Ovarian cancer is one of the most lethal and challenging female malignancies worldwide because of delayed diagnoses and resistance to traditional chemotherapy.
29307453,Lymph node excision,topp,TREATS,Ovarian Carcinoma,neop,Retroperitoneal lymphadenectomy for ovarian cancer with double inferior vena cava.
29573822,Lymph node excision,topp,TREATS,Ovarian Carcinoma,neop,Efficacy of soft coagulation in retroperitoneal lymphadenectomy for ovarian cancer.
30253459,Lymph node excision,topp,TREATS,Ovarian Carcinoma,neop,"The present report describes a 45-year-old woman with ovarian cancer who underwent hysterectomy, bilateral salpingo-oophorectomy, pelvic lymphadenectomy, para-aortic lymphadenectomy, and omentectomy."
31474589,Lymph node excision,topp,TREATS,Ovarian Carcinoma,neop,Pelvic and para-aortic lymphadenectomy is routinely performed in early ovarian cancer to define the stage of the disease.
31398143,Lymph node excision,topp,AFFECTS,Ovarian Carcinoma,neop,The role of lymphadenectomy in ovarian cancer has been the focus of gynecological oncologists during recent years.
29334771,Ovarian Carcinoma,neop,ISA,Malignant Neoplasms,neop,These data support further investigation of CARMA-hMeso as a potential treatment for ovarian cancer and other mesothelin-expressing cancers.
29342108,Ovarian Carcinoma,neop,ISA,Malignant Neoplasms,neop,Ovarian cancer is the most lethal gynecological malignancy.
30018043,Ovarian Carcinoma,neop,ISA,Malignant Neoplasms,neop,These findings suggest that the value of expanded autologous NK cell therapy for ovarian cancer and other solid malignancies should be clinically assessed.
30129640,Ovarian Carcinoma,neop,ISA,Malignant Neoplasms,neop,Ovarian cancer is one of the leading causes of death from gynecologic malignancy in women.
30129640,Ovarian Carcinoma,neop,ISA,Malignant Neoplasms,neop,"Given that the presence of tumor infiltrating lymphocytes is associated with prognosis and ovarian cancer is among the first cancers with an established association of immune cell infiltration, identification of the immune microenvironment in ovarian cancer is thought to be promising."
